@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE C35	REAL
@ATTRIBUTE C36	REAL
@ATTRIBUTE C37	REAL
@ATTRIBUTE C38	REAL
@ATTRIBUTE C39	REAL
@ATTRIBUTE C40	REAL
@ATTRIBUTE C41	REAL
@ATTRIBUTE C42	REAL
@ATTRIBUTE C43	REAL
@ATTRIBUTE C44	REAL
@ATTRIBUTE C45	REAL
@ATTRIBUTE C46	REAL
@ATTRIBUTE C47	REAL
@ATTRIBUTE C48	REAL
@ATTRIBUTE C49	REAL
@ATTRIBUTE C50	REAL
@ATTRIBUTE C51	REAL
@ATTRIBUTE C52	REAL
@ATTRIBUTE C53	REAL
@ATTRIBUTE C54	REAL
@ATTRIBUTE C55	REAL
@ATTRIBUTE C56	REAL
@ATTRIBUTE C57	REAL
@ATTRIBUTE C58	REAL
@ATTRIBUTE C59	REAL
@ATTRIBUTE C60	REAL
@ATTRIBUTE C61	REAL
@ATTRIBUTE C62	REAL
@ATTRIBUTE C63	REAL
@ATTRIBUTE C64	REAL
@ATTRIBUTE C65	REAL
@ATTRIBUTE C66	REAL
@ATTRIBUTE C67	REAL
@ATTRIBUTE C68	REAL
@ATTRIBUTE C69	REAL
@ATTRIBUTE C70	REAL
@ATTRIBUTE C71	REAL
@ATTRIBUTE C72	REAL
@ATTRIBUTE C73	REAL
@ATTRIBUTE C74	REAL
@ATTRIBUTE C75	REAL
@ATTRIBUTE C76	REAL
@ATTRIBUTE C77	REAL
@ATTRIBUTE C78	REAL
@ATTRIBUTE C79	REAL
@ATTRIBUTE C80	REAL
@ATTRIBUTE C81	REAL
@ATTRIBUTE C82	REAL
@ATTRIBUTE C83	REAL
@ATTRIBUTE C84	REAL
@ATTRIBUTE C85	REAL
@ATTRIBUTE C86	REAL
@ATTRIBUTE C87	REAL
@ATTRIBUTE C88	REAL
@ATTRIBUTE C89	REAL
@ATTRIBUTE C90	REAL
@ATTRIBUTE C91	REAL
@ATTRIBUTE C92	REAL
@ATTRIBUTE C93	REAL
@ATTRIBUTE C94	REAL
@ATTRIBUTE C95	REAL
@ATTRIBUTE C96	REAL
@ATTRIBUTE C97	REAL
@ATTRIBUTE C98	REAL
@ATTRIBUTE C99	REAL
@ATTRIBUTE C100	REAL
@ATTRIBUTE C101	REAL
@ATTRIBUTE C102	REAL
@ATTRIBUTE C103	REAL
@ATTRIBUTE C104	REAL
@ATTRIBUTE C105	REAL
@ATTRIBUTE C106	REAL
@ATTRIBUTE C107	REAL
@ATTRIBUTE C108	REAL
@ATTRIBUTE C109	REAL
@ATTRIBUTE C110	REAL
@ATTRIBUTE C111	REAL
@ATTRIBUTE C112	REAL
@ATTRIBUTE C113	REAL
@ATTRIBUTE C114	REAL
@ATTRIBUTE classe {612,388,344,041,211,111,185}


@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0832, 0, 0, 0, 0.008, 0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0.2871, 0.1287, 0, 0, 0, 0, 0, 1.8887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0865, 0, 0, 0.0269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.046, 0.0917, 0.4626, 0.1558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0, 0, 0, 1.05, 0.0746, 0, 0, 0, 0.1322, 0, 0, 0, 0,041
0, 0, 0.0517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0505, 0.0175, 0, 0, 0, 0, 0.0615, 0, 0, 0, 0, 0, 0, 1.87, 0, 0, 0.0653, 0.1287, 0, 0, 0, 0.1389, 0, 0.031, 0, 0, 0, 0, 0.1536, 0, 0, 0, 0.4567, 0, 0, 0, 0, 0, 0, 0, 0, 0.9133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.504, 0, 0, 0, 0, 0, 0, 0, 0, 1.05, 0, 0, 0, 0, 0, 0, 0.1944, 0, 0,041
0, 0, 0.0517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1337, 0.0175, 0, 0.0767, 0.0053, 0, 0, 1.2, 0, 0, 0, 0, 0, 23.41, 0, 0, 0.0971, 0.176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0628, 0, 0, 0.36, 0, 0, 0.133, 0, 0, 0, 0, 1.2, 0.14, 0, 8.42, 0, 0, 0, 0, 0, 0, 0, 0, 0.046, 0, 0, 0.2567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.73, 1.7675, 0, 0.2917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3006, 0, 0.2106, 0, 0,041
0.628, 0, 0.0517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1507, 0.0696, 0, 0, 0.0156, 0, 0, 1.2, 0, 0, 0, 0, 0.323, 0.94, 0, 0, 0.0971, 0.264, 0, 0, 0, 0, 0, 0.0674, 0, 0, 0, 0, 0, 0.0928, 0, 0, 0, 0, 0.51, 0, 0.1275, 0.0731, 0, 0, 0, 0.33, 0, 0, 0, 0, 0, 0.09, 0, 0, 1.46, 0, 0, 0.0463, 0, 0.8242, 0, 0, 0, 0, 0, 0.1753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0422, 0, 0.1644, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1173, 0.0175, 0, 0, 0.0087, 0.16, 0.0424, 0, 0, 0, 0.245, 0, 0, 2.81, 0, 0, 0, 0.0407, 0, 0, 0.0979, 0, 0, 0, 0, 0, 0, 0.3317, 0, 0.0867, 0, 0, 0, 0, 0, 0, 0.3619, 0, 0, 0, 0, 0.1667, 0, 0, 0, 0, 0, 0.1335, 0, 0, 0, 0, 0.0564, 0, 0, 0.1092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1492, 0, 0, 0, 0.1461, 0, 0.0381, 0, 0,041
0, 0, 0.1108, 0, 0, 0, 0, 0.2275, 0, 0, 0.1094, 0, 0, 0, 0.1378, 0.0175, 0, 0, 0.0173, 0, 0, 3.59, 0, 0, 1.433, 0, 0.152, 12.17, 0, 0.064, 0, 0.336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2133, 0, 0, 0.048, 0.3256, 0, 0, 0, 0, 1.2667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0837, 0, 0, 0, 0, 0, 0, 0, 0.1113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.418, 0, 0, 0, 0, 0, 0, 0, 0.756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2556, 0, 0.1056, 0.0794, 0,041
0, 0, 0.0942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.071, 0, 0, 0, 0.0025, 0, 0, 0, 0, 0, 0, 0, 0, 5.62, 0, 0.14, 0, 0.4053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0825, 0, 0, 0, 0, 0.9733, 0, 9.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0633, 0, 0.1875, 0, 0,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.102, 0, 0, 0, 0.0057, 0, 0.0218, 0, 0, 0, 1.297, 0, 0, 9.36, 0, 0.0467, 0.27, 0.088, 0, 0, 0, 0, 0, 0.1965, 0, 0, 0, 0, 0, 0.0756, 0, 0, 0.2133, 0, 0, 0, 0.1125, 0.0923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0917, 0, 0, 0, 0, 0.087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.585,041
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1406, 0, 0, 0, 0.1046, 0.0346, 0, 0, 0.0088, 0, 0, 0, 0, 0, 0, 0, 0, 5.62, 0, 0, 0.1141, 0.0947, 0, 0, 0, 0, 0, 0, 0, 0.1022, 0, 0, 0, 0, 0, 0, 0.1467, 0, 0, 0, 0.2056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3067, 0, 0, 0, 0, 0, 0, 0, 0.3933, 0, 0, 0.4733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3639, 0, 0.355, 0, 0,041
0, 0, 0.2483, 0, 0, 0, 0, 0, 0.315, 0, 0.1956, 0, 0, 0, 0.19, 0.0936, 0, 0.0767, 0.0097, 0, 0.045, 5.98, 0, 0, 0, 0, 0, 9.36, 0, 0.0467, 0.2729, 0.176, 0, 0, 0, 0, 0, 0, 0, 0.0539, 0, 0, 0.0773, 0.0628, 0, 0, 0, 0.0753, 0.308, 0, 0.3694, 0, 0, 0, 14.908, 0, 0, 1.4, 0, 0, 0, 0.0894, 0, 0, 0, 0, 0, 0.045, 0, 0, 0, 0, 0.0648, 0, 0, 0.0533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9633, 0, 0, 0, 0, 0.378, 0, 0.242, 0, 0, 0, 0, 0, 0, 0, 0.1177, 0, 0, 0, 0.37, 0, 0.0381, 0, 0,041
