@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0.0811, 0, 0.4544, 0, 0, 0.0267, 0, 0, 0, 0, 0, 0.063, 0, 0, 0, 0, 0, 0, 0, 0, 0.0822, 0.5425, 0, 0.1175, 0.0681, 0, 0, 0.1114, 0, 0, 0, 0, 0.0307, 0,041
0.1811, 0.185, 0.1044, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0.0504, 0, 0, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21, 0.5945, 0, 0.0373, 0, 0, 0.1371, 0,041
0, 0, 0.1744, 0, 0, 0, 0.3731, 0, 0, 0, 0.645, 0.1911, 0, 0, 0, 0.0411, 0, 1.9, 0, 0, 0, 0, 0, 0.0925, 0, 0, 0, 0, 0.2533, 0.079, 0, 0, 0.0707, 0,041
0.0456, 0, 2.1267, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0.0863, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.0825, 0.1211, 0.1556, 0.1014, 0,041
0.0456, 0, 3.1778, 0.22, 0, 0, 0, 0, 0, 0, 0, 0.0441, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0.0548, 0, 0, 0, 0, 0, 0, 0, 0, 0.0588, 0, 0.1756, 0, 0,041
0.0456, 0, 0.2922, 0.065, 0, 0, 0, 0, 0, 0, 0, 0.1196, 0, 0, 0, 0.1656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0377, 0, 0, 0.1437, 0, 0.2729, 0,041
0, 0, 0.7111, 0, 0, 0.061, 0, 0, 0, 0, 0, 0.3007, 0.0485, 0, 0, 0.11, 0, 0, 0, 0, 0.0635, 0.2325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1371, 0,041
0.0778, 0.185, 0.3622, 0, 0, 0.061, 0, 0, 0.2838, 0, 0, 0.253, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0.0681, 0, 0, 0.0377, 0, 0.0439, 0, 0, 0.0921, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0, 0.1748, 0, 0, 0, 0.1389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.326, 0.0186, 0, 0, 0.0307, 0.355,041
0, 0, 0.6222, 0, 0, 0, 0, 0, 0, 0.0868, 0, 0.1111, 0, 0, 0, 0.1222, 0, 0, 0, 0, 0.0548, 0.27, 0.28, 0.0336, 0, 0, 0, 0.0782, 0, 0.0159, 0, 0, 0.2057, 0,041
0, 0, 0.2922, 0, 0, 0, 0, 0, 0, 0, 0, 0.1441, 0, 0, 0, 0.1789, 0, 0, 0, 0, 0, 0.27, 0.28, 0, 0, 0, 0, 0.2423, 0, 0, 0, 0, 0, 0.355,041
0.2333, 0, 0.3144, 0, 0, 0, 0, 0.2213, 0, 0.0458, 0, 0.163, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0.125, 0, 0, 1.11, 0, 0.2293, 0.108, 0, 0, 0.0921, 0,041
0, 0, 2.9589, 0.065, 0, 0, 0, 0, 0, 0, 0, 0.3156, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.355,041
0, 0.185, 0.4522, 0, 0, 0, 0.0908, 0, 0, 0, 0, 0, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0, 0.28, 0, 0, 0.665, 0, 0.2595, 0.1567, 0.0531, 0, 0, 0, 0,041
0, 0, 1.8889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0, 0, 0.0986, 0, 0, 0, 0, 0, 0,041
0.0456, 0, 0.6767, 0, 0, 0.0199, 0, 0, 0, 0, 0, 0.0356, 0.0969, 0, 0, 0.085, 0, 0, 0, 0, 0, 0.4625, 0, 0, 0, 0, 1.11, 0, 0, 0.0186, 0, 0, 0.0614, 0,041
0, 0, 0.6767, 0, 0.454, 0, 0, 0, 0, 0.0663, 0, 0.1337, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0.0456, 0, 1.3333, 0, 0, 0, 0.1185, 0, 0, 0.0332, 0, 0.0441, 0, 0, 0.1989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.0718, 0, 0.1378, 0.1529, 0,041
0, 0, 0.6044, 0, 0, 0, 0, 0, 0, 0.1453, 0, 0.1493, 0, 0, 0, 0.1217, 0, 0, 0, 0, 0.0274, 0, 0.298, 0, 0.0626, 0, 1.11, 0.4545, 0, 0.0159, 0, 0, 0.0521, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0.1125, 9.9288, 0.2405, 0, 0.1919, 0.0485, 0, 0, 0.0978, 0, 0, 0, 0, 0.1096, 0, 0.84, 0.155, 0, 0, 0, 0.0545, 0, 0.0441, 0.0721, 0.1756, 0.0307, 0,041
0, 0, 1.0367, 0, 0, 0, 0.3623, 0, 0, 0, 0, 0, 0, 0, 0.3511, 0.0811, 0, 0, 0.2063, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0.061, 0, 0.1378, 0.19, 0,041
0.2011, 0.185, 0.8844, 0, 0, 0.061, 0.0908, 0.2563, 0, 0, 0, 0, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0.27, 0, 0, 0, 0, 1.11, 0, 0, 0.0702, 0, 0, 0, 0,041
0.0867, 0, 0.52, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0.1637, 0, 0, 0, 0, 0, 0, 0, 0, 0.0635, 2.31, 0, 0, 0, 0.665, 0, 0.25, 0, 0, 0, 0.1756, 0, 0,041
0, 0, 0.17, 0.0815, 0, 0, 0, 0, 0, 0.0784, 0, 0.2274, 0, 0, 0, 0.3311, 0, 1.9, 0, 0, 0, 0, 0, 0.0472, 0, 0, 0, 0, 0, 0.0278, 0, 0, 0.0307, 0,041
0.2422, 0.185, 0.3089, 0, 0, 0.0185, 0.3769, 0.1125, 0, 0.0595, 0, 0.0507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0364, 0, 0, 0, 0, 0, 0, 0, 0, 0.0307, 0,041
0.2522, 0, 0.8322, 0, 0, 0, 0, 0, 0, 0, 0, 0.0452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1033, 0, 0, 2.21, 0, 0.1193, 0.1192, 0, 0, 0, 0,041
0.1611, 0, 0.8122, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0.1926, 0.0485, 0, 0, 0.0406, 0, 0, 0, 0, 0.0274, 0.27, 1.48, 0, 0.0681, 0, 0, 0.7009, 0, 0.1592, 0, 0, 0.0921, 0,041
0.0811, 0.555, 0.1044, 0, 0, 0, 0, 0, 0, 0.3305, 0, 0, 0, 0, 0, 0.225, 0, 0, 0, 0, 0, 0, 0, 0.0325, 0, 0, 0, 0, 0.11, 0.0316, 0.0605, 0, 0.0757, 0,041
0, 0, 0.2444, 0, 0, 0, 0, 0, 0, 0.7189, 0, 0.1341, 0.0627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0853, 0.0721, 0, 0.1536, 0,041
0, 0, 0.2589, 0, 0, 0, 0.2138, 0, 0, 0.0595, 0, 0.1011, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0.596, 0, 0, 0, 0, 0, 0.1193, 0.0316, 0, 0, 0.0307, 0,041
0.0778, 0, 0.3622, 0, 0, 0.0397, 0, 0, 0, 0, 0, 0, 0.0969, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0614, 0,041
0.2267, 0, 0.4178, 0, 0, 0, 0.4469, 0, 0, 0, 0, 0.4893, 0.0904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.196, 0.2025, 0, 0, 0, 0, 0, 0.0682, 0, 0.3522, 0, 0.355,041
0.1367, 0.185, 0.3778, 0, 0, 0, 0, 0, 0, 0.0932, 0, 0.2004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.93, 0, 0, 0, 0, 1.11, 0.1855, 0, 0.0327, 0, 0, 0, 0,041
0.1556, 0.3683, 0.4878, 0, 0, 0.0267, 0.3415, 0, 0, 0.1979, 0, 0.1656, 0.0969, 0, 0, 0.3317, 0, 0, 0, 0.815, 0, 0.27, 0.298, 0.0472, 0.0626, 0, 0, 0.1468, 0, 0.2573, 0, 0, 0.0614, 2.48,041
0.0456, 0, 1.9611, 0.0735, 0, 0, 0, 0, 0, 0, 0, 0.0611, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0.9275, 0, 0.0436, 0, 0, 0, 0.065, 0, 0, 0, 0, 0, 0,041
0.0911, 0.185, 1.8267, 0, 0, 0, 0, 0, 0, 0, 0, 0.1237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.465, 0, 0, 0, 0, 3.32, 0.1205, 0.094, 0, 0, 0, 0.0707, 0,041
0.0811, 0, 0.5711, 0, 0, 0.0409, 0, 0, 0, 0.0332, 0, 0.337, 0.0904, 0, 0, 0, 0, 0, 0, 0, 0, 2.8325, 0, 0, 0, 0, 0, 0.4518, 0, 0.03, 0, 0, 0, 0.355,041
0, 0, 0.2078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0485, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1437, 0, 0.0921, 0,041
0, 0, 0.1744, 0, 0, 0, 0.4315, 0, 0, 0, 0, 0.1426, 0.0627, 0, 0, 0.0639, 0, 0, 0, 0, 0, 0, 0, 0.0311, 0.087, 0, 0, 0.2018, 0, 0.1131, 0, 0, 0.1064, 0,041
0.1556, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0, 0.2919, 0.0485, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11, 0, 0.652, 0, 0, 0, 0.0614, 0,041
0.0778, 0.185, 0.1744, 0, 0, 0.0185, 0.0908, 0, 0, 0, 0, 0.0315, 0.0485, 0, 0, 0.0811, 0, 0, 0, 0, 0, 0, 0.494, 0, 0, 0, 0, 0.1155, 0.978, 0.0159, 0, 0, 0.0307, 0,041
0.1778, 0, 0.5522, 0, 0, 0, 0, 0, 7.2313, 0.0826, 0, 0.1196, 0.0485, 0, 0, 0.1406, 0, 0, 0, 0, 0.0548, 0, 0, 0.0314, 0.0904, 0, 0, 0.2595, 0, 0.0865, 0, 0, 0.0307, 0,041
0, 0, 0.1889, 0.0815, 0, 0, 0, 0.2188, 0, 0.19, 0, 0.0985, 0, 0, 0, 0.0639, 0, 0, 0, 0, 0.0274, 0, 0.792, 0, 0, 0, 0, 0.06, 0, 0.0351, 0, 0, 0.0614, 0,041
0, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0, 0, 0.1856, 0, 0, 0, 0.4333, 0, 0, 0, 0, 0, 0.27, 0, 0.0314, 0, 0, 0, 0.1323, 0, 0.0759, 0, 0, 0.0936, 0,041
0.1367, 0, 0.7278, 0, 0, 0.0199, 0, 0, 0, 0, 0, 0, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0.1047, 0.0904, 0, 1.11, 0.0377, 0, 0, 0, 0, 0.1571, 0,041
0, 0, 0.1744, 0.091, 0, 0, 0, 0, 0.2838, 0, 0, 0.0711, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0764, 0,041
0.0911, 0.185, 1.3989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0613, 0, 0, 0, 0, 0, 1.11, 0, 0, 0.1086, 0, 0, 0.195, 0,041
0.0456, 0, 1.1767, 0, 0, 0, 0, 0.1688, 0, 0, 0, 0.0796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.27, 0, 0, 0, 0, 0, 0, 0.094, 0.0198, 0, 0, 0.0629, 0,041
0, 0.7417, 0.5667, 0, 0, 0, 0, 0, 0, 0, 0, 0.0504, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0.0198, 0, 0, 0, 0,041
0.3178, 0, 0.8644, 0, 0, 0.0466, 0.0908, 0, 0, 0.1958, 0, 0.1115, 0, 0, 0, 0, 0, 0, 0, 0, 0.087, 0, 0, 0.1556, 0, 0, 0, 0.315, 0, 0.0435, 0, 0, 0, 1.415,041
0, 0, 0.7711, 0.0735, 0, 0.0267, 0, 0, 0, 0, 0, 0.2007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0, 0, 2.1056, 0, 0, 0.0487, 0, 0, 0, 0, 0, 0.0881, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0.174, 0, 0, 0, 0, 0, 0, 0.0365, 0, 0.1556, 0.1764, 0,041
0, 0, 3.3678, 0, 0, 0, 0.2462, 0, 0, 0.0332, 0, 0.0315, 0, 0, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0.0472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0.0456, 0, 1.3133, 0.081, 0, 0.0227, 0, 0, 0, 0, 0, 0.0541, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,041
0.1689, 0, 0.2444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0, 0.174, 0, 0, 0, 0, 0.1295, 0, 0.02, 0, 0.3056, 0.2071, 0,041
0.8633, 0, 0, 0, 0, 0.0355, 0, 0.1125, 0, 0.0332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.39, 0, 0.5726, 0, 0, 0, 0, 0.078, 0.0721, 0, 0.2764, 0,111
2.6811, 0, 0, 0, 0, 0.047, 0, 0.1125, 0, 0.1, 0, 0.11, 0, 0, 0, 0, 0, 0, 0.1613, 0, 0, 0, 0.196, 0, 0, 0, 0, 0, 0, 0.0602, 0, 0, 0.2079, 0,111
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0, 0, 0, 0.2063, 0, 0.4009, 0, 0, 0, 0, 0, 0, 0.0609, 0, 0.0278, 0.2437, 0, 0, 0,111
0, 0, 0, 0, 0, 0.0364, 0.0623, 0, 0, 1.0837, 0, 0.0707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6213, 0.1353, 0, 0, 0.105, 0,111
0.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0.1368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1435, 0.2325, 0, 0, 0, 0, 1.11, 0, 0.1313, 0.061, 0, 0, 0, 0,111
0.1367, 0, 0.07, 0, 0, 0, 0.1231, 0.7375, 0, 0.0463, 0, 0.1419, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0.196, 0, 0, 0, 0, 0.1041, 0, 0.0351, 0, 0, 0.6043, 0,111
1.3856, 0, 0.14, 0, 0, 0.0199, 0, 0.1688, 0, 0.0332, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.061, 0, 0, 0.3814, 0.355,111
2.12, 0, 0.0844, 0, 0, 0.0384, 0, 0, 0, 0.0663, 0, 0.063, 0, 0, 3.0122, 0.06, 0, 0, 0, 0, 0.0274, 0, 0, 0.0678, 0, 0, 0, 0, 0, 0.0678, 0, 0.2756, 0.8829, 0.355,111
0.0778, 0, 0, 0, 0, 0, 0, 0, 0, 0.1247, 0, 0.0452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0314, 0, 0, 0, 0, 0, 0, 0, 0, 0.0764, 0,111
0.67, 0, 0, 0, 0, 0, 0, 0, 0, 0.2153, 0, 0.067, 0, 0, 0, 0.1806, 0, 0, 0.1613, 0, 0.57, 0, 0, 0.0908, 0, 0, 1.11, 0, 0, 0.099, 0, 0.1967, 0.3193, 0,111
0.0867, 0.185, 0.2078, 0.0815, 2.52, 0.0596, 0, 0, 0, 0.0458, 0, 0.1519, 0.0969, 0, 0.1733, 0.1261, 0, 0, 0, 0, 0.7652, 0, 0, 0.0628, 0, 0, 0, 0, 0, 0.0459, 0, 0, 0.2129, 0,111
0.1611, 0, 0.2544, 0, 0, 0, 0, 0, 0, 0.1047, 0, 0, 0, 0, 0, 0.0567, 0, 0, 0, 0, 0, 0.5425, 0, 0, 0, 0, 0, 0.0545, 0, 0, 0.1211, 0, 0.0943, 0,111
1.8156, 0, 0, 0, 0, 0, 0, 0, 0, 0.1526, 0, 0, 0.0731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21, 0, 0, 0.0504, 0.0721, 0, 1.16, 0,111
1.6844, 0, 0.07, 0, 0.428, 0.0463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 1.11, 0, 0, 0.0525, 0, 0, 0, 0.355,111
0.1267, 0.7417, 0.14, 0, 0.454, 0.0254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3022, 0, 0, 0, 0, 0, 1.11, 0.065, 0, 0.1112, 0, 0, 0.105, 0,111
1.1967, 0, 0.07, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0, 0, 0, 0, 0, 0, 0, 0.9688, 0, 0.1209, 0, 0, 0.0747, 0, 0, 0, 0, 0, 0.0431, 0, 0, 0.8893, 0,111
0.7878, 0, 0.07, 0, 0, 0.0749, 0.1246, 0, 0, 0.1963, 0, 0.2652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0833, 0, 0, 0, 0, 0, 0.0565, 0.1437, 0, 0.1571, 0,111
0, 0, 0, 0, 0, 0.0473, 0, 0, 0, 0.1274, 0, 0.0696, 0, 0, 0.6911, 0.0411, 0, 0, 0, 0, 0.0548, 0, 0, 0, 0, 0, 0, 0, 0, 0.1473, 0.0789, 0, 0, 0,111
0.0456, 0.195, 0, 0, 0, 0.0521, 0, 0.1125, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0.1161, 0, 0.174, 0.135, 0, 0, 1.11, 0, 0, 0, 0, 0.1378, 0, 0,111
2.7622, 0, 0, 0, 0, 0.0204, 0, 0, 0, 0.0332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2457, 0, 0.39, 0, 0, 0, 0, 0, 0, 0.1131, 0, 0, 0.3886, 0,111
1.1244, 0.195, 0, 0, 0, 0.1176, 0, 0, 0, 0.0332, 0, 0, 0, 0, 0, 0, 0, 0, 0.4838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.094, 0.3182, 0, 0, 0.1679, 0,111
1.8833, 0.3883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1522, 0, 0, 0, 0, 0, 0.3961, 0, 0, 0.2361, 0, 0, 0, 0, 0, 0.1525, 0.1437, 0, 0.655, 0,111
1.9667, 0, 0, 0, 0, 0.0364, 0, 0, 0, 0, 0, 0.0348, 0, 0, 0, 0.0822, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0, 0, 0.0159, 0, 0, 0.2814, 0,111
0.1556, 0.185, 2.13, 0, 0, 0.0364, 0, 0, 0, 0, 0, 0.1222, 0.0731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0402, 0, 0, 0.1586, 0,111
1.4322, 0.195, 0.1344, 0, 0, 0.0472, 0, 0, 0, 0.0463, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0.0274, 0, 0, 0.2025, 0, 0, 0, 0, 0, 0.0167, 0, 0.2756, 1.7436, 0,111
1.8722, 0, 0, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0.0711, 0.0662, 0, 0, 0.0411, 0, 0, 0, 0, 0.0887, 0, 0, 0, 0, 0, 0, 0, 0, 0.0306, 0, 0, 1.125, 0,111
2.1622, 0, 0.07, 0, 0, 0.0191, 0, 0, 0, 0, 0, 0, 0, 0, 0.1522, 0, 0, 0, 0, 0, 0.137, 0, 0.196, 0, 0, 0, 0, 0, 0, 0.0333, 0, 0, 0.0921, 0,111
0, 0, 0, 0, 0, 0.2236, 0.1185, 0, 0, 0.0332, 0, 0.0663, 0, 0, 0, 0.06, 0, 0, 0, 0, 0.2309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1129, 0,111
0, 0, 0.07, 0, 0, 0, 0, 0, 0, 0.2779, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0.2063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09, 0.0605, 0, 0.0521, 0,111
1.5333, 0.185, 0, 0, 0, 0, 0, 0.2263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.665, 0, 0, 0, 0, 0, 0, 0.3193, 0,111
3.1033, 0, 0, 0, 0, 0, 0, 0.1125, 0, 0.1263, 0, 0.1722, 0.0627, 0, 0.2611, 0.1539, 0, 0, 0.4125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1118, 0, 0, 0.42, 0,111
0, 0, 0, 0, 0, 0.0733, 0.2369, 0, 0, 0, 0, 0.1326, 0, 0, 0, 0.1256, 0, 0, 0, 0, 0.0548, 0, 0, 0.0675, 0, 0, 0, 0, 0, 0.0624, 0, 0, 0.0629, 0,111
0.4244, 0, 0.3056, 0, 0, 0, 0, 0, 0, 0, 0, 0.063, 0.3981, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0, 0, 0.1945, 0, 0.0373, 0.5395, 0, 0.0521, 0,111
2.4989, 0, 0, 0, 0, 0, 0, 0.9, 0, 0.0463, 0, 0, 0.4235, 0, 0, 0.1133, 0, 0, 0, 0, 0.1096, 0, 0.196, 0, 0, 0, 0, 0, 0, 0.0306, 0.0721, 0, 0.0936, 0,111
0.2878, 0, 0, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0.0411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0377, 0, 0, 0.0721, 0, 0.0614, 0.355,111
1.3222, 0, 0, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1323, 0, 0.03, 0, 0, 0.3321, 0,111
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0943, 0,111
1.0889, 0.185, 0, 0, 0, 0.0575, 0.0908, 0, 0, 0, 0, 0.0852, 0, 0, 0, 0.0767, 0, 0, 0, 0, 0, 0, 0, 0.1825, 0, 0, 0, 0.245, 0, 0.1688, 0.2874, 0, 0, 0,111
3.1889, 0, 0, 0, 0, 0.0706, 0, 0.6325, 0, 0.1584, 0, 0, 0, 0, 5.6011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0541, 0, 0.1522, 0.8236, 0,111
1.0978, 0.3683, 0, 0, 0, 0.0254, 0.0623, 0, 0, 0.1374, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0.0274, 0, 0, 0.0772, 0, 0, 0, 0, 0, 0.0467, 0, 0, 1.3571, 0,111
0.0456, 0, 0.6756, 0, 0, 0.0199, 0, 0, 0, 0.0795, 0, 0.0315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.61, 0, 0, 0, 0, 0, 0, 0.094, 0, 0, 0, 0, 0,111
1.5733, 0, 0, 0, 0, 0.0199, 0, 0, 0, 0, 0, 0.0611, 0.0627, 0, 0, 0, 0, 0, 0, 0, 0.19, 0, 0, 0.0486, 0, 0, 0, 0, 0, 0.0159, 0.1437, 0, 0.2207, 0,111
2.5489, 0, 0, 0.086, 0, 0.0157, 0, 0, 0, 0.0458, 0, 0.0452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0433, 0, 0, 0.09, 0,111
2.6122, 0, 0.07, 0, 0, 0, 0, 0, 0, 0, 0, 0.067, 0.0719, 0, 0, 0.06, 0, 0, 1.4525, 0, 0.2378, 0, 0.174, 0.0311, 0, 0, 0, 0, 0, 0, 0, 0, 0.8571, 0,111
1.8311, 0, 0, 0, 0, 0, 0, 0.3375, 0, 0.2553, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2715, 0, 0, 0, 0, 0.0198, 0, 0, 0.2179, 0,111
1.7033, 0.185, 0, 0, 0, 0, 0, 0, 0, 0.0332, 0, 0.0348, 0, 0, 0, 0.0994, 0, 0, 0, 0, 0.1196, 0, 0, 0.0436, 0, 0, 1.11, 0, 0, 0.0461, 0.1511, 0, 0.2736, 0,111
0.1689, 0, 0.32, 0, 0, 0.0284, 0.1246, 0, 0, 0.0663, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0.4125, 0, 0, 0, 0.174, 0, 0, 0, 0, 0.0377, 0, 0.0278, 0, 0.1967, 0.34, 0,111
0.0778, 0, 0.2022, 0, 0, 0.0284, 0.1246, 0.1125, 0, 0, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0.4125, 0, 0, 0, 0.174, 0.1078, 0, 0, 0, 0.0377, 0, 0.0278, 0, 0.7856, 0.34, 0,111
2.8133, 0, 0, 0, 0, 0, 0, 0.2113, 0, 0.1742, 0, 0.0696, 0, 0, 7.0044, 0, 0, 0, 0, 0, 0.1865, 0, 0, 0, 0, 0, 0, 0, 0, 0.1292, 0, 0.2756, 0.4814, 0,111
